ERT 1 Texel_Cocksdorp_clean.bin
         0.50
11
3
Type of measurement (0=app. resistivity,1=resistance)
0
2801
 2
0
4  1.00  0.00 5.50  0.00 28.50  0.00 33.00  0.00 1.26 
4  1.50  0.00 2.00  0.00 2.50  0.00 3.00  0.00 109.50 
4  1.50  0.00 2.00  0.00 3.00  0.00 3.50  0.00 57.55 
4  1.50  0.00 2.00  0.00 3.50  0.00 4.00  0.00 33.28 
4  1.50  0.00 2.00  0.00 4.00  0.00 4.50  0.00 22.19 
4  1.50  0.00 2.00  0.00 4.50  0.00 5.00  0.00 12.23 
4  1.50  0.00 2.00  0.00 5.00  0.00 5.50  0.00 1.69 
4  1.50  0.00 2.50  0.00 5.50  0.00 6.50  0.00 5.67 
4  1.50  0.00 2.50  0.00 6.50  0.00 7.50  0.00 2.64 
4  1.50  0.00 2.50  0.00 6.00  0.00 7.00  0.00 4.08 
4  1.50  0.00 2.50  0.00 7.00  0.00 8.00  0.00 2.05 
4  1.50  0.00 2.50  0.00 8.00  0.00 9.00  0.00 1.02 
4  1.50  0.00 3.00  0.00 8.50  0.00 10.00  0.00 1.16 
4  1.50  0.00 3.00  0.00 10.00  0.00 11.50  0.00 1.33 
4  1.50  0.00 3.00  0.00 11.50  0.00 9.00  0.00 1.20 
4  1.50  0.00 3.00  0.00 9.00  0.00 10.50  0.00 1.32 
4  1.50  0.00 3.00  0.00 10.50  0.00 12.00  0.00 1.15 
4  1.50  0.00 3.00  0.00 12.00  0.00 9.50  0.00 1.23 
4  1.50  0.00 3.00  0.00 9.50  0.00 11.00  0.00 1.03 
4  1.50  0.00 3.00  0.00 11.00  0.00 12.50  0.00 0.74 
4  1.50  0.00 3.50  0.00 11.50  0.00 13.50  0.00 0.97 
4  1.50  0.00 3.50  0.00 13.50  0.00 15.50  0.00 0.73 
4  1.50  0.00 3.50  0.00 15.50  0.00 12.00  0.00 0.93 
4  1.50  0.00 3.50  0.00 12.00  0.00 14.00  0.00 0.78 
4  1.50  0.00 3.50  0.00 14.00  0.00 16.00  0.00 1.06 
4  1.50  0.00 3.50  0.00 16.00  0.00 12.50  0.00 0.92 
4  1.50  0.00 3.50  0.00 12.50  0.00 14.50  0.00 0.94 
4  1.50  0.00 3.50  0.00 14.50  0.00 13.00  0.00 0.76 
4  1.50  0.00 3.50  0.00 13.00  0.00 15.00  0.00 0.75 
4  1.50  0.00 4.00  0.00 14.50  0.00 17.00  0.00 0.81 
4  1.50  0.00 4.00  0.00 17.00  0.00 19.50  0.00 0.79 
4  1.50  0.00 4.00  0.00 19.50  0.00 15.00  0.00 1.20 
4  1.50  0.00 4.00  0.00 15.00  0.00 17.50  0.00 0.76 
4  1.50  0.00 4.00  0.00 17.50  0.00 15.50  0.00 0.99 
4  1.50  0.00 4.00  0.00 15.50  0.00 18.00  0.00 1.15 
4  1.50  0.00 4.00  0.00 18.00  0.00 16.00  0.00 0.84 
4  1.50  0.00 4.00  0.00 16.00  0.00 18.50  0.00 1.22 
4  1.50  0.00 4.00  0.00 18.50  0.00 16.50  0.00 1.09 
4  1.50  0.00 4.00  0.00 16.50  0.00 19.00  0.00 1.05 
4  1.50  0.00 4.50  0.00 17.50  0.00 20.50  0.00 0.91 
4  1.50  0.00 4.50  0.00 20.50  0.00 18.00  0.00 0.86 
4  1.50  0.00 4.50  0.00 18.00  0.00 21.00  0.00 0.78 
